Start Signal,End Signal,Min Rise Delay,Max Rise Delay,Min Fall Delay,Max Fall Delay,Estimated Depth,Mapped Start Signal
A,Y,0.0566700591382515,0.1532269354768335,0.0327658742745663,0.1238458537443216,1.5322693547683348,key_in[15]
A,Y,0.1214966356355621,0.321010060952356,0.0506334120907065,0.1817297891386656,3.21010060952356,key_in[15]
B,Y,0.0997047680971631,0.2465483442743965,0.0365530567549356,0.1143746379978948,2.465483442743965,_1780_
A1,X,0.0734161849316308,0.265530049907857,0.1075254082873044,0.3348747485206,2.65530049907857,_1852_
A2,X,0.0677760505790979,0.2233109038670068,0.1089495885457843,0.3105796818744651,2.233109038670068,_1841_
B1,X,0.0527726557945483,0.2129768921503788,0.0656572037544635,0.2821652158456808,2.129768921503788,_1864_
A,Y,0.0570033029968584,0.1463534890258336,0.0272007406936385,0.1295547594762811,1.4635348902583358,key_in[15]
A,X,0.1410279155595429,0.3471813212964429,0.1193122162616813,0.3175331198966515,3.471813212964429,key_in[15]
A,X,0.1556223527425118,0.4160725215463764,0.1369249613559109,0.3772878782849141,4.1607252154637635,key_in[15]
A1_N,X,0.2207531858683259,0.6702601441358185,0.1656379108533074,0.7699347488603283,6.702601441358184,_0995_
A2_N,X,0.2089850573968666,0.640078730357795,0.1569924928937398,0.746988603227263,6.400787303577949,A2_N
B1,X,0.150744337945681,0.4276430441916516,0.2185068438034954,0.7538345161464735,4.276430441916516,_1864_
B2,X,0.1398556310346868,0.3981007858269813,0.1907047074234731,0.6902360545159488,3.981007858269813,_1843_
A1,X,0.1350422312197166,0.4378900144206872,0.1496365296248034,0.4992090215837354,4.378900144206872,_1852_
A2,X,0.1302320788071852,0.4220234003933964,0.1576892827614888,0.5391291454757466,4.220234003933964,_1841_
B1,X,0.1187253939876314,0.377892228205461,0.1174939762072537,0.4368387442089377,3.7789222820546096,_1864_
B2,X,0.1216429491565579,0.387929366276908,0.1219810259549056,0.4549358796225108,3.87929366276908,_1843_
A1_N,Y,0.0919082683195963,0.3632401982014608,0.1003545261407014,0.3169152530103976,3.632401982014608,_0995_
A2_N,Y,0.0829476857899997,0.3418205815148527,0.0888664167406537,0.277939235049653,3.4182058151485264,A2_N
B1,Y,0.1233885389897569,0.3222531777081865,0.0501547463589957,0.1958774586861021,3.222531777081865,_1864_
B2,Y,0.1032719494706401,0.2756897010935364,0.0444922167257545,0.1887675902353217,2.756897010935364,_1843_
A,Y,0.0309725760749818,0.0827701056121886,0.014934703202405,0.0873136448967098,0.8277010561218859,key_in[15]
